Offsets do not include ROM header

From | Offset | Map | X   | Y   | To   | Offset | Map | X  | Y  | Location             | Index
F404 | 60     | 15  | 15  | 1   | F49D | 213    | 16  | 8  | 0  | Charlock Cave Lv. 2  | 20
F407 | 63     | 15  | 13  | 7   | F4A0 | 216    | 16  | 4  | 4  | Charlock Cave Lv. 2  | 21
F40A | 66     | 15  | 19  | 7   | F4A3 | 219    | 16  | 9  | 8  | Charlock Cave Lv. 2  | 22
F40D | 69     | 15  | 14  | 9   | F4A6 | 222    | 16  | 8  | 9  | Charlock Cave Lv. 2  | 23
F410 | 72     | 15  | 2   | 14  | F4A9 | 225    | 16  | 0  | 1  | Charlock Cave Lv. 2  | 24
F413 | 75     | 15  | 2   | 4   | F4AC | 228    | 16  | 0  | 0  | Charlock Cave Lv. 2  | 25
F416 | 78     | 15  | 8   | 19  | F4AF | 231    | 16  | 5  | 0  | Charlock Cave Lv. 2  | 26
F419 | 81     | 16  | 3   | 0   | F4B2 | 234    | 17  | 7  | 0  | Charlock Cave Lv. 3  | 27
F41C | 84     | 16  | 9   | 1   | F4B5 | 237    | 17  | 2  | 2  | Charlock Cave Lv. 3  | 28
F41F | 87     | 16  | 0   | 8   | F4B8 | 240    | 17  | 5  | 4  | Charlock Cave Lv. 3  | 29
F422 | 90     | 16  | 1   | 9   | F4BB | 243    | 17  | 0  | 9  | Charlock Cave Lv. 3  | 30
F425 | 93     | 17  | 1   | 6   | F4BE | 246    | 18  | 0  | 9  | Charlock Cave Lv. 4  | 31
F428 | 96     | 17  | 7   | 7   | F4C1 | 249    | 18  | 7  | 7  | Charlock Cave Lv. 4  | 32
F42B | 99     | 18  | 2   | 2   | F4C4 | 252    | 19  | 9  | 0  | Charlock Cave Lv. 5  | 33
F42E | 102    | 18  | 8   | 1   | F4C7 | 255    | 19  | 4  | 0  | Charlock Cave Lv. 5  | 34
F431 | 105    | 19  | 5   | 5   | F4CA | 258    | 20  | 0  | 0  | Charlock Cave Lv. 6  | 35
F434 | 108    | 19  | 0   | 0   | F4CD | 261    | 20  | 0  | 6  | Charlock Cave Lv. 6  | 36
F437 | 111    | 20  | 9   | 0   | F4D0 | 264    | 20  | 0  | 0  | Charlock Cave Lv. 6  | 37
F43A | 114    | 20  | 9   | 6   | F4D3 | 267    | 6   | 10 | 29 | Charlock Throne Room | 38
F43D | 117    | 22  | 0   | 0   | F4D6 | 270    | 23  | 0  | 0  | Mountain Cave Lv. 2  | 39
F440 | 120    | 22  | 6   | 5   | F4D9 | 273    | 23  | 6  | 5  | Mountain Cave Lv. 2  | 40
F443 | 123    | 22  | 12  | 12  | F4DC | 276    | 23  | 12 | 12 | Mountain Cave Lv. 2  | 41
F446 | 126    | 24  | 1   | 18  | F4DF | 279    | 25  | 11 | 2  | Garin's Grave Lv. 2  | 42
F449 | 129    | 25  | 1   | 1   | F4E2 | 282    | 26  | 1  | 26 | Garin's Grave Lv. 3  | 43
F44C | 132    | 25  | 12  | 1   | F4E5 | 285    | 26  | 18 | 1  | Garin's Grave Lv. 3  | 44
F44F | 135    | 25  | 5   | 6   | F4E8 | 288    | 26  | 6  | 11 | Garin's Grave Lv. 3  | 45
F452 | 138    | 25  | 1   | 10  | F4EB | 291    | 26  | 2  | 17 | Garin's Grave Lv. 3  | 46
F455 | 141    | 25  | 12  | 10  | F4EE | 294    | 26  | 18 | 13 | Garin's Grave Lv. 3  | 47
F458 | 144    | 26  | 9   | 5   | F4F1 | 297    | 27  | 0  | 4  | Garin's Grave Lv. 4  | 48
F45B | 147    | 26  | 10  | 9   | F4F4 | 300    | 27  | 5  | 4  | Garin's Grave Lv. 4  | 49
F45E | 150    | 28  | 9   | 9   | F4F7 | 303    | 29  | 8  | 9  | Erdrick's Cave Lv 2  | 50
